TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2122955	AT4G19500	protein_coding	nucleoside-triphosphatase/transmembrane receptor/nucleotide binding/ATP binding protein;(source:Araport11)	RPP2A;recognition of Peronospora parasitica 2A	cytoplasm;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2122985	AT4G19530	protein_coding	Encodes a TIR-NB-LRR resistance protein.  Transient expression in tobacco induces cell death.	N/A	defense response;innate immune response-activating signaling pathway;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2136108	AT4G11170	protein_coding	Encodes RMG1 (Resistance Methylated Gene 1); a NB-LRR disease resistance protein with a Toll/interleukin-1 receptor (TIR) domain at its N terminus. RMG1 is expressed at high levels in response to flg22 and in naive met1/nrpd2 relative to wild-type plants. Expression of this gene is controlled by DNA methylation in its promoter region. The RMG1 promoter region is constitutively demethylated by active DNA demethylation mediated by the DNA glycosylase ROS1.	RESISTANCE METHYLATED GENE 1;RMG1	response to ozone;cytoplasm;mitochondrion;flowering stage;root;stamen;stem,
Locus:2032672	AT1G72890	protein_coding	NBS TIR protein.	TIR-NBS6;TN6	positive regulation of plant-type hypersensitive response;cytoplasm;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2032733	AT1G72930	protein_coding	Toll/interleukin-1 receptor-like protein (TIR) protein. It is induced in response to bacterial pathogens and overexpression results in cell death in leaves.	ATTN10;TIR;TIR-NUCLEOTIDE BINDING SITE FAMILY 10;TN10;TOLL/INTERLEUKIN-1 RECEPTOR-LIKE	signal transduction;nucleus;chloroplast;cytoplasm;mitochondrion;nucleus;plasmodesma;protein binding;guard cell;rosette leaf,
Locus:2032602	AT1G72860	protein_coding	NBS TIR LRR protein. It is induced in response to bacterial pathogens and overexpression results in cell death in leaves.	TNL60	defense response;positive regulation of plant-type hypersensitive response;signal transduction;cytoplasm;nucleus;ADP binding;NAD+ nucleosidase activity, cyclic ADP-ribose generating;stem;vascular leaf,
Locus:2098110	AT3G44670	protein_coding	One of a series of RPP1-like; tandemly duplicated Toll-Interleukin1-Receptor- related NLR receptors within the DANGEROUS MIX2 cluster. Interacts genetically with and is downstream of EDS1 in auto immune response.	DANGEROUS MIX2H;DM2H	defense response;defense response to bacterium;defense response to oomycetes;plant-type hypersensitive response;nucleus;guard cell,
Locus:2117164	AT4G19060	protein_coding	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	N/A	nucleus;guard cell,
Locus:2122980	AT4G19520	protein_coding	disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cellular response to hypoxia;cytoplasm;guard cell,
Locus:2130245	AT4G16900	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cellular_component;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;inflorescence meristem;leaf apex;petal;plant embryo;plant sperm cell;root;sepal;stamen;stem;vascular leaf,
Locus:2130319	AT4G16990	protein_coding	disease resistance protein (TIR-NBS class);(source:Araport11)	RESISTANCE TO LEPTOSPHAERIA MACULANS 3;RLM3;TIR-NBS16;TN16	regulation of defense response by callose deposition;jasmonic acid and ethylene-dependent systemic resistance;chloroplast;cytoplasm;cytosol;nucleus;mRNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2098700	AT3G50450	protein_coding	Homolog of RPW8	HOMOLOG OF RPW8 1;HR1	response to fungus;mitochondrion;molecular_function;guard cell,
Locus:2122965	AT4G19510	protein_coding	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)	RPP2B;recognition of Peronospora parasitica 2B	chloroplast;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2195468	AT1G63880	protein_coding	Encodes a TIR-NBS-LRR class of disease resistance protein effective against Leptosphaeria maculans.	RESISTANCE TO LEPTOSPHAERIA MACULANS 1B;RLM1B	defense response to fungus;chloroplast;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2008231	AT1G51270	protein_coding	vesicle-associated protein 1-4;(source:Araport11)	N/A	endoplasmic reticulum membrane organization;endoplasmic reticulum-plasma membrane tethering;endoplasmic reticulum membrane;plasma membrane;cytoplasm;protein-membrane adaptor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2009405	AT1G57850	protein_coding	Toll-Interleukin-Resistance (TIR) domain family protein;(source:Araport11)	N/A	defense response;signal transduction;nucleus;cytoplasm;molecular_function;LP.02 two leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;collective leaf structure;guard cell;leaf lamina base;vascular leaf,
Locus:2010733	AT1G56520	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	defense response;signal transduction;chloroplast;nucleus;ADP binding;guard cell,
Locus:2026634	AT1G63740	protein_coding	TNL which is a putative target of miR825-5p. Upregulated at 0.5 h post-infestation by P. brassicae.	N/A	response to insect;chloroplast;cytoplasm;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf lamina base;petal;plant embryo;pollen tube cell;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,
Locus:2026649	AT1G63730	protein_coding	TNL which is a putative target of miR825-5p. Upregulated in response to P. brassicae.	N/A	defense response;response to insect;chloroplast;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2037628	AT1G58400	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;cellular_component,
Locus:2037639	AT1G58390	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;cellular_component;LP.08 eight leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;collective leaf structure;flower;inflorescence meristem;plant embryo;seed;shoot apex;stamen;vascular leaf,
Locus:2077572	AT3G07040	protein_coding	Contains an N-terminal tripartite nucleotide binding site and a C-terminal tandem array of leucine-rich repeats. Confers resistance to Pseudomonas syringae strains that carry the avirulence genes avrB and avrRpm1.	RESISTANCE TO P. SYRINGAE PV MACULICOLA 1;RESISTANCE TO PSEUDOMONAS SYRINGAE 3;RPM1;RPS3	defense response;plant-type hypersensitive response;defense response to other organism;extrinsic component of cytoplasmic side of plasma membrane;extrinsic component of plasma membrane;plasma membrane;extrinsic component of plasma membrane;nucleotide binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2117149	AT4G19050	protein_coding	NB-ARC domain-containing disease resistance protein;(source:Araport11)	N/A	nucleus;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;pollen;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,
Locus:2118116	AT4G12020	protein_coding	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1; also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19).  Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002,7(7):301. Co-regulates with DSC1  basal levels of immunity to root-knot nematodes.	ATWRKY19;MAPK/ERK KINASE KINASE 4;MAPKKK11;MEKK4;MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 11;WRKY19	nucleus;chloroplast;chloroplast envelope;cytoplasm;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2091662	AT3G14460	protein_coding	Leucine rich repeat protein that also contains an adenylate cyclase catalytic core motif. Capable of converting ATP to cAMP in vitro. Mutants show increased susceptibility to fungal pathogens.	LEUCINE-RICH REPEAT (LRR) PROTEIN 1;LRRAC1	defense response to bacterium;defense response to other organism;nucleus;adenylate cyclase activity;guard cell,
Locus:2045427	AT2G32140	protein_coding	transmembrane receptor;(source:Araport11)	TX14	defense response;signal transduction;nucleus;chloroplast;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;cotyledon;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;pollen;root;sepal;stamen;stem;vascular leaf,
Locus:2025916	AT1G59780	protein_coding	NB-ARC domain-containing disease resistance protein;(source:Araport11)	N/A	defense response to other organism;cellular_component;flowering stage;flower;hypocotyl;root;synergid,
Locus:2037623	AT1G58410	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;nucleus;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;collective leaf structure;endosperm;flower;guard cell;leaf apex;plant embryo;root;seed;stem,
Locus:2827629	AT2G17050	protein_coding	disease resistance protein (TIR-NBS-LRR class);(source:Araport11)	N/A	defense response;signal transduction;cytoplasm;ADP binding,
Locus:2203776	AT1G47370	protein_coding	RBA1 variant in Ag0 background is a TIR-only receptor protein that binds to the  bacterial type III effector protein HopBA. The Col-0 variant; which is not expressed,  is likely a psuedogene and more highly methylated than the Ag0 variant which is expressed.	AT1G47370-AG0;RBA1;response to the bacterial type III effector protein HopBA1	defense response by callose deposition;positive regulation of plant-type hypersensitive response;DNA catabolic process;NAD+ catabolic process;NADP+ catabolic process;RNA catabolic process;cAMP biosynthetic process;cGMP biosynthetic process;defense response;induction of programmed cell death;positive regulation of programmed cell death;signal transduction;nucleus;cytoplasm;nucleus;NAD+ nucleosidase activity, cyclic ADP-ribose generating;hydrolase activity;protein binding,
Locus:2203881	AT1G62630	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	N-terminal protein myristoylation;defense response to other organism;nucleus;guard cell;rosette leaf,
Locus:2010738	AT1G56510	protein_coding	TIR-NB-LRR protein that confers resistance to four races of Albugo candida.	ACTIVATED DISEASE RESISTANCE 2;ADR2;WHITE RUST RESISTANCE 4;WHITE RUST RESISTANCE 4 A;WRR4;WRR4A	defense response;defense response to oomycetes;cellular response to UV;chloroplast;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2033921	AT1G51480	protein_coding	disease resistance protein (CC-NBS-LRR class) family protein;(source:Araport11)	RESISTANCE SILENCED GENE 1;RSG1	defense response to other organism;cellular_component,
Locus:2039405	AT2G16870	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cellular_component;guard cell,
Locus:2827639	AT2G17060	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cytoplasm;root,
Locus:2205824	AT1G27170	protein_coding	transmembrane receptors / ATP binding protein;(source:Araport11)	N/A	defense response;signal transduction;cytoplasm;plasmodesma;ADP binding;guard cell,
Locus:2201996	AT1G12220	protein_coding	Resistance gene; mediates resistance against the bacterial pathogen Pseudomonas syringae. Contains a putative nucleotide binding site composed of kinase-1a (or P-loop), kinase-2a, and putative kinase-3a domains, 13 imperfect leucine-rich repeats, a potential leucine zipper, and two uncharacterized motifs that are well conserved in products of previously isolated R genes. Confers resistance to Pseudomonas syringae strains that express avrPphB.	RESISTANT TO P. SYRINGAE 5;RPS5	defense response;defense response to bacterium;plant-type hypersensitive response;programmed cell death;N-terminal protein myristoylation;defense response to other organism;intracellular anatomical structure;plasma membrane;identical protein binding;nucleotide binding;protein binding;signaling receptor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2205804	AT1G27180	protein_coding	disease resistance protein (TIR-NBS-LRR class);(source:Araport11)	N/A	defense response;signal transduction;cytoplasm;cytosol;nucleus;ADP binding;guard cell;rosette leaf,
Locus:2197409	AT1G10920	protein_coding	Encodes LOV1; a disease susceptibility gene that, paradoxically, is a member of the NBS-LRR resistance gene family.  Conditions susceptibility to the fungus Cochliobolus victoriae and victorin-dependent induction of defense-associated proteins. Saturation mutagenesis identified 59 lov mutations that all display reduced susceptibility to vitorin. Mutations in known defense response pathways do not prevent susceptibility to C. victoriae.	LOCUS ORCHESTRATING VICTORIN EFFECTS1;LOV1	defense response to fungus;response to molecule of fungal origin;defense response to other organism;nucleus;plasma membrane;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;inflorescence meristem;leaf lamina base;petal;petiole;plant embryo;seed;sepal;stamen;stem;vascular leaf,
Locus:2201986	AT1G12210	protein_coding	RFL1 has high sequence similarity to the adjacent disease resistance (R) gene RPS5.	RFL1;RPS5-like 1	response to bacterium;N-terminal protein myristoylation;defense response to other organism;nucleus;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;guard cell;plant embryo;sepal;shoot apex;stamen;stem,
Locus:2154890	AT5G66630	protein_coding	DA1-related protein 5;(source:Araport11)	DA1-RELATED PROTEIN 5;DAR5	cellular_component;ubiquitin binding;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;cauline leaf;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;root;sepal;stamen;stem;vascular leaf,
Locus:2174944	AT5G66910	protein_coding	RPW8 -CNL gene is required for signal transduction of TNLs; functionally redundant to NRG1.1.	N REQUIREMENT GENE 1.2;NRG1.2;NRG1B	cytosol;endomembrane system;nucleus;guard cell,
Locus:2152252	AT5G38850	protein_coding	TNL-encoding miR825-5p target. Modulated by miR825-5p; triggering g defensive responses against the sucking acari Tetranychus urticae or the chewing insect Pieris brassicae.	MICRORNA-SILENCED TNL1;MIST1	response to insect;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2158485	AT5G45260	protein_coding	Confers resistance to Ralstonia solanacearum. Similar to NBLS-TIR resistance genes;and also contains similarity to transcription factors. Interacts with pathogen effector protein AvrPop2.	ARABIDOPSIS THALIANA WRKY DOMAIN PROTEIN 52;ATWRKY52;RESISTANT TO RALSTONIA SOLANACEARUM 1;RRS1;RRS1-R;SENSITIVE TO LOW HUMIDITY 1;SLH1	defense response to bacterium;plant-type hypersensitive response;cytoplasm;nucleus;DNA binding;DNA-binding transcription factor activity;identical protein binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2166320	AT5G63020	protein_coding	Nucleotide binding leucine rich repeat protein of the C-NB-LRR (CNL) type.  Involved in TOPP4 mediated immune response.	SUPPRESSORS OF TOPP4-1;SUT1	N-terminal protein myristoylation;defense response to other organism;cytoplasm;nucleus;plasma membrane;protein binding;guard cell,
Locus:2170408	AT5G46270	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	defense response;signal transduction;chloroplast;ADP binding;ATP hydrolysis activity;NAD+ nucleosidase activity, cyclic ADP-ribose generating;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;sepal;shoot system;stamen;stem;vascular leaf,
Locus:2122209	AT4G36150	protein_coding	TIR domain containing intracellular immune receptor; required for defense signaling initiated by some transmembrane pattern recognition receptors and contributes to the unbridled spread of cell death in lesion simulating disease 1. Together with RNLs; SADR1 regulates defense gene expression at infection site borders, likely in a non-cell autonomous manner.	SAA1;SADR1;SUPPRESSOR OF AITF1-INDUCED AUTOIMMUNITY 1);Suppressor of ADR1-L2 1	chloroplast;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant egg cell;plant embryo;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,
